,Churn
2623,No
3409,Yes
181,No
3649,No
5674,Yes
5198,No
3093,Yes
2281,No
1879,No
425,No
5167,No
5669,Yes
3248,No
2912,No
755,No
3348,No
4065,No
2400,Yes
4437,No
5074,No
1949,Yes
2347,No
1476,No
2956,No
5140,No
6050,No
3880,Yes
808,Yes
4977,No
6728,No
1007,No
1762,No
3053,Yes
2715,Yes
3452,Yes
5470,No
4828,No
3996,No
6308,Yes
336,Yes
1122,Yes
3332,Yes
6975,Yes
6900,No
4501,Yes
218,No
323,No
6359,Yes
5009,No
1142,No
27,Yes
4042,No
729,Yes
4697,No
2068,No
4450,Yes
6694,No
3953,No
2937,No
6247,Yes
7016,No
6407,No
4019,No
2750,No
5839,No
1803,Yes
4991,No
6289,No
3427,No
3663,No
3586,Yes
576,No
2868,Yes
666,No
748,No
2654,No
1346,No
3128,No
3631,Yes
5785,No
711,No
1083,No
4938,Yes
4654,No
6820,Yes
117,Yes
2265,Yes
3986,No
1490,No
2070,No
5339,No
3304,No
5632,No
2620,No
3237,No
2164,No
670,No
520,No
2147,No
2057,No
6354,No
2947,No
5643,No
1674,No
4480,Yes
3789,No
5315,No
3783,No
2093,No
3881,Yes
5987,No
5526,No
5996,No
1169,Yes
2041,No
6663,No
5503,No
6241,No
6996,No
4239,No
3213,No
1677,No
615,No
6513,No
2129,No
2546,No
5428,Yes
790,No
5436,No
6779,No
4806,Yes
6402,No
5362,Yes
4970,Yes
1278,No
5775,No
5229,No
2361,Yes
3979,No
3105,No
4050,No
689,No
2335,No
2225,No
5708,No
817,No
2827,No
1090,No
854,No
624,No
3615,Yes
2886,Yes
202,No
1863,No
3560,No
127,No
1138,No
2824,Yes
6214,Yes
6592,No
4912,No
6339,No
1074,Yes
5982,Yes
1,No
3547,No
4667,Yes
3209,No
2831,No
4221,Yes
2115,No
4381,No
221,No
3601,No
1860,No
1358,No
5445,Yes
688,No
1755,No
6240,No
2943,Yes
2657,Yes
5307,No
4156,No
6797,No
5567,Yes
6137,Yes
136,No
568,No
6434,No
4069,No
5267,No
6485,No
5257,No
1854,Yes
6385,No
4352,No
706,No
1052,No
2279,No
3755,No
1028,No
3614,No
5237,Yes
5607,No
5430,Yes
5473,Yes
1069,No
3627,No
3340,No
684,No
5197,No
4232,No
6148,Yes
46,No
3254,No
1989,No
5354,No
5437,Yes
1685,No
1574,Yes
1698,No
4698,Yes
2751,Yes
465,No
521,No
6332,Yes
3806,No
4041,No
4988,No
6872,No
3596,No
2437,Yes
4575,No
4789,No
3908,No
418,Yes
4793,No
964,No
6740,No
1353,No
6266,No
1948,Yes
2890,No
439,No
2214,No
5502,No
4702,No
1682,No
2372,No
1413,No
5662,No
6227,No
4076,Yes
6358,No
2929,No
2158,Yes
2280,Yes
6847,Yes
3391,No
3131,Yes
2616,No
4084,No
3077,No
2476,No
4247,Yes
1316,No
6644,No
2320,No
3641,No
6814,No
2092,No
5370,No
5208,Yes
6615,No
5396,No
5962,No
2178,No
3068,No
446,Yes
6130,No
4945,No
201,No
2946,No
5923,Yes
1036,Yes
4217,No
365,Yes
3372,No
647,Yes
4025,No
3318,No
5658,No
60,No
6567,No
3965,No
2288,No
4530,Yes
1425,No
5741,Yes
847,No
5968,No
4175,Yes
4615,No
1787,No
1202,No
1664,No
1827,Yes
1919,No
6906,No
3523,No
1356,Yes
820,No
4778,No
777,Yes
6190,Yes
7021,Yes
5248,Yes
2458,No
3664,No
4553,No
1904,No
3836,Yes
945,Yes
642,No
5979,No
773,No
3467,Yes
1195,No
954,No
3906,No
374,No
5299,No
3134,Yes
876,No
5519,No
5960,No
968,No
691,No
5722,No
2249,No
496,No
4053,No
1060,No
401,No
242,No
5255,No
795,No
34,No
4326,No
6825,Yes
52,No
4750,No
5174,No
1294,No
935,No
5099,No
1417,No
2095,No
4322,Yes
1047,Yes
6369,Yes
4920,Yes
5635,Yes
1508,Yes
2535,No
3845,No
4091,Yes
2399,No
4791,No
5053,No
5925,Yes
2196,No
1379,Yes
2861,No
5420,No
133,Yes
1001,No
4314,No
2433,Yes
379,No
1975,No
4459,No
3711,No
676,Yes
1100,No
918,No
2965,Yes
2037,No
2685,Yes
3125,No
2891,No
4285,Yes
632,No
6392,Yes
871,Yes
4078,No
2368,No
6067,No
6561,No
3997,No
3415,No
3092,No
769,Yes
917,No
6039,Yes
1473,Yes
3927,No
258,Yes
6399,Yes
5924,Yes
2146,No
4446,No
3051,No
2614,Yes
2863,No
3638,No
6812,No
1243,No
607,No
2671,No
3319,No
4746,No
4891,Yes
3866,No
5153,No
3445,No
5115,Yes
4128,No
4242,No
1500,Yes
